Wavelength,Flux,BestFit,SkyFlux
4519.601,15.842,17.442,7.585
4520.641,14.855,17.695,7.770
4521.681,16.392,17.680,7.895
4522.724,14.489,17.350,8.102
4523.764,15.839,17.106,8.192
4524.807,17.265,17.470,7.973
4525.848,18.162,17.184,7.459
4526.892,16.201,17.500,7.704
4527.933,15.438,17.806,8.250
4528.975,17.202,18.052,8.001
4530.019,17.144,18.365,7.899
4531.061,17.551,18.116,7.984
4532.106,17.358,18.441,8.323
4533.149,16.573,18.649,8.700
4534.194,16.721,18.720,8.704
4535.237,15.670,18.460,8.451
4536.280,14.971,17.875,8.384
4537.327,16.614,17.719,8.417
4538.370,16.283,17.845,8.611
4539.417,16.833,17.716,8.761
4540.461,16.050,17.767,8.777
4541.508,14.889,17.524,8.483
4542.553,16.762,16.482,8.239
4543.598,15.702,15.753,8.721
4544.646,15.412,16.436,9.115
4545.691,15.013,16.658,8.957
4546.739,16.035,16.630,9.223
4547.785,14.886,16.756,9.274
4548.834,16.654,16.922,8.350
4549.880,17.727,16.993,7.644
4550.927,16.175,17.413,7.777
4551.977,16.097,17.172,7.985
4553.024,16.783,17.483,8.483
4554.074,17.544,17.924,8.563
4555.122,16.594,17.500,7.944
4556.172,15.985,17.262,7.664
4557.220,16.528,17.980,7.426
4558.269,15.785,17.552,7.842
4559.319,16.843,17.307,8.598
4560.368,17.834,17.475,8.284
4561.420,16.875,17.496,7.925
4562.469,16.704,17.946,7.834
4563.521,16.097,17.924,7.705
4564.571,16.355,18.022,7.540
4565.621,17.220,18.296,7.342
4566.674,17.068,18.323,7.243
4567.725,17.460,17.953,7.224
4568.778,17.708,17.608,7.324
4569.829,15.444,16.753,7.592
4570.883,16.520,16.419,7.985
4571.934,17.307,16.425,7.827
4572.989,15.075,16.478,7.227
4574.041,18.620,16.691,7.310
4575.093,17.164,17.166,7.378
4576.148,18.505,16.918,7.310
4577.201,15.266,17.308,7.823
4578.256,16.324,18.049,8.068
4579.309,17.871,18.170,7.816
4580.365,17.732,17.747,7.644
4581.419,16.472,18.250,7.692
4582.473,17.775,18.695,7.910
4583.530,19.554,18.400,8.024
4584.584,17.842,18.442,8.008
4585.641,17.802,18.651,7.896
4586.696,18.099,18.363,7.778
4587.754,17.649,18.098,7.579
4588.809,16.331,17.467,7.859
4589.865,18.444,17.509,8.122
4590.923,15.684,17.646,7.718
4591.979,17.640,17.779,7.329
4593.039,17.247,18.199,7.388
4594.095,16.164,18.603,7.665
4595.154,18.791,18.946,7.792
4596.211,18.059,18.261,7.670
4597.269,16.586,18.390,7.518
